Gene	corr	p.value	p.adj	Module
HMGCS2	0.333947871744706	0.00263201419112699	1	MEblue
ZFP36	0.9191403884402	6.92112877870949e-33	4.13191388088957e-30	MEblue
RASA4DP	0.212123669579628	0.0605505400862829	1	MEblue
LINC01679	0.830382481779024	3.00640863777852e-21	1.74371700991154e-18	MEblue
LINC00602	0.596332662487908	6.67570203531457e-09	3.53812207871672e-06	MEblue
AL713965.1	0.292726535189276	0.00884588619341805	1	MEblue
AL731566.2	-0.223994620302729	0.047203745093714	1	MEblue
AC243562.1	-0.155957266686138	0.169908340607287	1	MEblue
LRRC53	0.258317549728789	0.0215310271605159	1	MEblue
LINC02274	0.695107460814105	1.18380355697687e-12	6.43989134995416e-10	MEblue
FP565260.3	0.421054703181438	0.000111531850034604	0.0520853739661601	MEblue
PAX8-AS1	0.134330721233932	0.237886836285444	1	MEblue
ADM	0.892151730473413	2.70121626294874e-28	1.5964188114027e-25	MEblue
NR4A1	0.764189517604112	2.54636662014131e-16	1.41323347417843e-13	MEblue
FEM1AP1	0.24934491754107	0.0266894979547759	1	MEblue
LAMC2	0.350190671542229	0.0015573831573766	0.635412328209652	MEblue
AL031587.1	0.75386382932757	1.07153096426702e-15	5.92556623239661e-13	MEblue
AGAP14P	0.228601572279331	0.0427251393538515	1	MEblue
MIR3189	0.735178590171312	1.21556833892692e-14	6.69778154748733e-12	MEblue
SIK1B	0.89909888707827	2.37826140309114e-29	1.41506553483923e-26	MEblue
AL049833.2	-0.401321684993399	0.000246825633123889	0.111812011805122	MEblue
AC009065.2	0.182438804351207	0.107563344035333	1	MEblue
AC114954.1	0.254308547116094	0.0237198440946424	1	MEblue
AL161773.1	0.40068655873499	0.000253013140321126	0.114361939425149	MEblue
AL049833.1	-0.460426680606284	1.95902249699021e-05	0.00956002978531224	MEblue
AL133351.1	0.216331161708087	0.0555068782530212	1	MEblue
AL109946.1	0.427330659408174	8.57296963250729e-05	0.0404644166654344	MEblue
MIR548AG2	0.265379890418908	0.0180933357756075	1	MEblue
LINC01060	0.302204826264403	0.00679261022017913	1	MEblue
AL358216.1	0.626014863049096	6.85060494081467e-10	3.67877485321748e-07	MEblue
VIP	-0.222717895992366	0.0485112217852993	1	MEblue
AL162724.2	0.70315417839478	5.0176257591656e-13	2.74464129026358e-10	MEblue
LINC00315	0.568492614716166	4.62201621593525e-08	2.39882641607039e-05	MEblue
KRTAP10-5	0.356059800611179	0.00127955036786971	0.529733852298059	MEblue
AL592301.1	0.562011829957991	7.07107583340167e-08	3.66281728170206e-05	MEblue
BCL2A1	0.407945668839907	0.000190088702300397	0.087060625653582	MEblue
CCL3L1	0.554310102190144	1.15840809465786e-07	5.97738576843456e-05	MEblue
AP001631.1	0.445060785091008	3.96221133179889e-05	0.0191374807325886	MEblue
NLRP2	0.294230027082342	0.00848773128314659	1	MEblue
CU633906.2	0.184419481483845	0.103733309397369	1	MEblue
TRIM63	0.384796609479718	0.000462675927517645	0.204965435890317	MEblue
TAS2R43	-0.328307452745181	0.00313793729773019	1	MEblue
PRND	0.624662312854602	7.6394129012546e-10	4.09472531507246e-07	MEblue
AL139082.1	0.557164876424359	9.66119980741846e-08	4.99484030043534e-05	MEblue
RNU6-212P	0.492810406016493	3.95459274211256e-06	0.00196938718557206	MEblue
AL358215.2	-0.186451414443282	0.0999154301347243	1	MEblue
DUSP1	0.831194258149327	2.54002679639714e-21	1.47575556870674e-18	MEblue
IL6R-AS1	0.577932320047465	2.44715904962705e-08	1.28231134200458e-05	MEblue
RNVU1-6	0.493704019297435	3.77489624742657e-06	0.00188367322746586	MEblue
